variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
global_constant,Global constant,6143,44.32964349666287,47.462152042975745,41.19713495034999,2861.1141136252645,nan,nan,0.0,0.0
video_identity,Video identity,6143,33.36268923978512,32.556731238808396,34.16864724076184,1933.0131857398665,0.7562964825990292,0.5403816882681436,0.7484071605946284,0.5302771521217152
video_time,Video--time prior,6143,28.041022301806933,25.343643171089045,30.738401432524824,1484.6882630636496,0.8199569130341804,0.5848744061276938,0.818910258733208,0.5700707695413813
physiology,Physiological branch,6143,42.74857561452059,45.285202669705356,40.21194855933583,2729.367654240599,0.2004868217055636,0.09220537201852019,0.05839524051033181,0.026146529079099978
fixed_fusion,Fixed fusion,6143,27.72456454501058,25.19697216343806,30.2521569265831,1440.5642194367572,0.8197837652212021,0.5855039991846943,0.8190828296932174,0.5607054614868272
