video,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
3,video_time,Video--time prior,360,25.729166666666668,27.716666666666665,23.741666666666667,1185.201388888889,0.7377981541571099,0.6487765392478441,0.6613874813894465,0.568336471867026
3,physiology,Physiological branch,360,67.60833333333333,76.67777777777778,58.53888888888889,6060.891666666666,0.039157380443318096,0.1834166530596177,0.0025523110496945556,0.013487559069327339
3,fixed_fusion,Fixed fusion,360,25.759722222222223,27.613888888888887,23.905555555555555,1219.6430555555555,0.7382159931700145,0.6486480337394039,0.6624734068997985,0.5248819761407856
4,global_constant,Global constant,316,59.960443037974684,56.24683544303797,63.674050632911396,4075.15664556962,nan,nan,0.0,0.0
4,video_identity,Video identity,316,18.207278481012658,23.829113924050635,12.585443037974683,733.5522151898734,nan,nan,0.0,0.0
4,video_time,Video--time prior,316,18.438291139240505,21.354430379746834,15.522151898734178,573.1851265822785,0.5741889343369652,0.5720515795124985,0.4680366984761148,0.5517319821064037
4,physiology,Physiological branch,316,54.04588607594937,48.93987341772152,59.151898734177216,3429.7262658227846,0.07096670321945416,0.17855265901546866,0.010610085344418593,0.014333323328109455
4,fixed_fusion,Fixed fusion,316,17.90981012658228,20.943037974683545,14.876582278481013,561.8876582278481,0.5733150395224392,0.5718699843547344,0.47344362697840914,0.5337044672585929
5,global_constant,Global constant,540,42.63611111111111,45.644444444444446,39.62777777777778,2249.6564814814815,nan,nan,0.0,0.0
5,video_identity,Video identity,540,32.33611111111111,17.392592592592592,47.27962962962963,1982.3712962962964,nan,nan,0.0,0.0
5,video_time,Video--time prior,540,31.64537037037037,19.366666666666667,43.92407407407408,1876.539814814815,0.3048417402180756,0.020159254955335864,0.23940449145004306,0.009999307830658508
5,physiology,Physiological branch,540,42.68425925925926,41.272222222222226,44.096296296296295,2332.425,-0.2884785832946095,-0.7529567635441333,-0.03812852991145521,-0.19362524584478122
5,fixed_fusion,Fixed fusion,540,31.55648148148148,19.501851851851853,43.611111111111114,1802.4916666666666,0.30413030653661866,-0.0037650149176579207,0.23506503113420335,-0.0018168568153178763
6,global_constant,Global constant,372,35.44758064516129,39.94892473118279,30.946236559139784,1901.3319892473119,nan,nan,0.0,0.0
6,video_identity,Video identity,372,27.899193548387096,24.852150537634408,30.946236559139784,1303.4368279569892,nan,nan,0.0,0.0
6,video_time,Video--time prior,372,26.297043010752688,18.760752688172044,33.833333333333336,1255.111559139785,0.6592634084301316,0.15221592329913974,0.6479472447644922,0.06650606670206936
6,physiology,Physiological branch,372,38.34139784946237,47.52150537634409,29.161290322580644,2181.185483870968,-0.20633238069766666,0.2639654273805921,-0.039599224405944856,0.09762699366783002
6,fixed_fusion,Fixed fusion,372,25.969086021505376,18.68548387096774,33.25268817204301,1218.2916666666667,0.6582041777760861,0.1640650261801846,0.6469095878837575,0.06890174671714393
7,global_constant,Global constant,488,38.76844262295082,41.66188524590164,35.875,2229.40368852459,nan,nan,0.0,0.0
7,video_identity,Video identity,488,33.84426229508197,38.10040983606557,29.58811475409836,1701.924180327869,nan,nan,0.0,0.0
7,video_time,Video--time prior,488,32.307377049180324,31.82172131147541,32.79303278688525,1648.563524590164,0.3557603154904673,0.04748773326754128,0.26776984826864936,0.038384829531375675
7,physiology,Physiological branch,488,31.72438524590164,33.76434426229508,29.684426229508198,1621.8002049180327,0.20693776330357086,-0.02555065110605717,0.054749361508285646,-0.005373734436148113
7,fixed_fusion,Fixed fusion,488,30.996926229508198,31.596311475409838,30.397540983606557,1529.8719262295083,0.3547834271196272,0.04668902138915124,0.26813263392901654,0.04016170998181241
8,global_constant,Global constant,428,51.967289719626166,56.9088785046729,47.02570093457944,3428.5817757009345,nan,nan,0.0,0.0
8,video_identity,Video identity,428,34.191588785046726,23.69859813084112,44.68457943925234,1970.8738317757009,nan,nan,0.0,0.0
