subject,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
predict1,global_constant,Global constant,1536,52.410807291666664,50.783854166666664,54.037760416666664,3383.0904947916665,nan,nan,0.0,0.0
predict1,video_identity,Video identity,1536,30.358723958333332,27.518229166666668,33.19921875,1709.4075520833333,0.8256161099631709,0.6560219558654625,0.8104004804869175,0.6240096477474839
predict1,video_time,Video--time prior,1536,29.480143229166668,24.33203125,34.628255208333336,1477.1754557291667,0.8616588309582484,0.658355473659027,0.8563354896443331,0.616076292645363
predict1,physiology,Physiological branch,1536,47.666341145833336,44.740234375,50.592447916666664,3056.2789713541665,0.3203133607539899,0.2723370260033954,0.11703364106664525,0.06649058653543816
predict1,fixed_fusion,Fixed fusion,1536,29.542317708333332,24.15625,34.928385416666664,1462.7493489583333,0.8614337709617405,0.6608809067357003,0.8566333284788376,0.5996275715660352
predict2,global_constant,Global constant,1536,42.716471354166664,51.474609375,33.958333333333336,2930.3193359375,nan,nan,0.0,0.0
predict2,video_identity,Video identity,1536,30.1416015625,30.874348958333332,29.408854166666668,1508.8173828125,0.8073146003369881,0.6291106535094937,0.805442620456688,0.6134357967454045
predict2,video_time,Video--time prior,1536,23.384114583333332,22.823567708333332,23.944661458333332,957.0703125,0.8991111938195888,0.6976701233335622,0.8949404523006443,0.6802350720320832
predict2,physiology,Physiological branch,1536,42.681640625,50.829427083333336,34.533854166666664,3005.9309895833335,-0.057597931249109134,-0.13843268403860243,-0.01088532486066859,-0.034691729628643156
predict2,fixed_fusion,Fixed fusion,1536,22.985026041666668,22.791015625,23.179036458333332,929.7486979166666,0.8986154411744585,0.6954542333153766,0.8939728320534884,0.6720874147459668
predict3,global_constant,Global constant,1536,49.3046875,54.750651041666664,43.858723958333336,3280.009765625,nan,nan,0.0,0.0
predict3,video_identity,Video identity,1536,33.746744791666664,28.214192708333332,39.279296875,2077.61328125,0.8295031780083536,0.4170419185788413,0.8100192052083097,0.3763906492635351
predict3,video_time,Video--time prior,1536,26.362955729166668,19.258463541666668,33.467447916666664,1456.7294921875,0.9127105127054019,0.5190424352482558,0.8955178370911814,0.4660119044940557
predict3,physiology,Physiological branch,1536,47.079752604166664,51.906901041666664,42.252604166666664,2996.6292317708335,0.2258939963743294,0.1757941546489113,0.06348988536767904,0.05468074280371391
predict3,fixed_fusion,Fixed fusion,1536,26.127604166666668,19.26171875,32.993489583333336,1400.1145833333333,0.9125540881442648,0.5217889682388215,0.8949697595436586,0.45983164514642405
predict4,global_constant,Global constant,1535,32.87915309446254,32.8299674267101,32.928338762214985,1850.3788273615635,nan,nan,0.0,0.0
predict4,video_identity,Video identity,1535,39.20749185667752,43.627361563517915,34.787622149837134,2436.5423452768728,0.5663493624170557,0.48655519541891434,0.5167985555224063,0.48478243945345023
predict4,video_time,Video--time prior,1535,32.940065146579805,34.966775244299676,30.913355048859934,2048.144625407166,0.6035698449720633,0.5127565546656797,0.5657496752002686,0.5102595759759038
predict4,physiology,Physiological branch,1535,33.56058631921824,33.656677524429966,33.46449511400652,1858.0641693811076,0.0599280963645028,0.0672283906263812,0.010956202653644623,0.01038763278514453
predict4,fixed_fusion,Fixed fusion,1535,32.24625407166124,34.58501628664495,29.907491856677524,1969.9889250814333,0.6034882598354978,0.5127109050625304,0.5673554483912122,0.5068238219519906
