variant,overall_mae,valence_mae,arousal_mae,overall_mse,held_out_subjects
global_constant,44.3296434967,47.4621520430,41.1971349503,2861.1141136253,4
video_identity,33.3626892398,32.5567312388,34.1686472408,1933.0131857399,4
video_time_prior,28.0410223018,25.3436431711,30.7384014325,1484.6882630636,4
physiology_only,42.7485756145,45.2852026697,40.2119485593,2729.3676542406,4
fixed_fusion,27.7245645450,25.1969721634,30.2521569266,1440.5642194368,4
