relative_time_bin,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
3,video_time,Video--time prior,612,24.408496732026144,22.69607843137255,26.12091503267974,1122.1650326797385,0.8692111147796076,0.6324422941918956,0.8654253542246994,0.6100129393764001
3,physiology,Physiological branch,612,43.56699346405229,46.06535947712418,41.068627450980394,2638.3366013071895,0.18719321563898753,0.023207453544113254,0.05097481834154257,0.006279517013416042
3,fixed_fusion,Fixed fusion,612,24.33823529411765,22.5718954248366,26.104575163398692,1100.7450980392157,0.8688847522530114,0.6330432818909153,0.8652115206011725,0.5964148203060584
4,global_constant,Global constant,615,49.707317073170735,54.15772357723577,45.25691056910569,3150.60162601626,nan,nan,0.0,0.0
4,video_identity,Video identity,615,26.552845528455286,24.115447154471546,28.990243902439026,1333.3528455284552,0.8728904875461537,0.6443611794551874,0.8693242136921098,0.6305682877150443
4,video_time,Video--time prior,615,26.41951219512195,23.673170731707316,29.165853658536584,1347.5138211382114,0.8751779303847357,0.6405517400866187,0.8721084534257619,0.6266425873709521
4,physiology,Physiological branch,615,47.24552845528455,51.06341463414634,43.427642276422766,2927.6276422764226,0.27829414787155377,0.19864956139116882,0.07842304348971094,0.05610392933515932
4,fixed_fusion,Fixed fusion,615,26.133333333333333,23.497560975609755,28.76910569105691,1299.4260162601627,0.8753977272553488,0.6425056329409129,0.8729470868692568,0.6195616571495414
5,global_constant,Global constant,613,52.23246329526917,56.168026101141926,48.296900489396414,3379.8800978792824,nan,nan,0.0,0.0
5,video_identity,Video identity,613,28.912724306688418,25.499184339314844,32.32626427406199,1518.8654159869495,0.8551199573851883,0.6221202147270785,0.8538115038795283,0.6021921666549056
5,video_time,Video--time prior,613,29.294453507340947,25.818923327895597,32.7699836867863,1580.6696574225123,0.8601636915346328,0.6265921340560492,0.856740647108191,0.6156373412665486
5,physiology,Physiological branch,613,49.784665579119086,53.566068515497555,46.00326264274062,3204.522022838499,0.24448261167051286,0.11809554908311293,0.06961152291995647,0.032107991588691556
5,fixed_fusion,Fixed fusion,613,28.977977161500817,25.611745513866232,32.3442088091354,1518.0513866231647,0.8598187389335608,0.6280904146397301,0.8569916152075508,0.6103699452463319
6,global_constant,Global constant,619,52.54523424878837,55.663974151857836,49.4264943457189,3530.2722132471727,nan,nan,0.0,0.0
6,video_identity,Video identity,619,32.365912762520196,27.78998384491115,36.941841680129244,1821.1882067851373,0.833435677000589,0.5527951659334285,0.8319749090118458,0.5285740016515423
6,video_time,Video--time prior,619,33.178513731825525,28.48788368336026,37.86914378029079,1922.1445880452343,0.8405863929290728,0.5675132185025092,0.8365363604690198,0.5560344646332858
